Otu,Phylum.consensus,Class.consensus,Order.consensus,Family.consensus,Genus.consensus,Phylum-TBAS,Class-TBAS,Order-TBAS,Family-TBAS,Genus-TBAS,Trophic mode,Guild,Phylum.unite,Class.unite,Order.unite,Family.unite,Genus.unite,confidence.unite,Phylum.ncbi,Class.ncbi,Order.ncbi,Family.ncbi,Genus.ncbi
Otu2400,Chytridiomycota,Chytridiomycetes,Spizellomycetales,Spizellomycetaceae,Spizellomyces,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Pathotroph,Lichen Parasite,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetaceae,Spizellomyces,0.01,Chytridiomycota,Chytridiomycetes,Spizellomycetales,Spizellomycetaceae,Spizellomyces
Otu652,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Ascomycota,Dothideomycetes,Jahnulales,Aliquandostipitaceae,Jahnula,Saprotroph,Undefined Saprotroph,NA,NA,NA,NA,NA,0,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia
Otu1271,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Pathotroph,Lichen Parasite,NA,NA,NA,NA,NA,0.01,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia
Otu1376,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Ascomycota,Eurotiomycetes,Onygenales,Ascosphaeraceae,Ascosphaera,Pathotroph,Animal Pathogen,NA,NA,NA,NA,NA,0.03,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia
Otu2592,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Ascomycota,Dothideomycetes,Jahnulales,Aliquandostipitaceae,Jahnula,Saprotroph,Undefined Saprotroph,NA,NA,NA,NA,NA,0.06,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia
Otu3380,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Ascomycota,Dothideomycetes,Jahnulales,Aliquandostipitaceae,Jahnula,Saprotroph,Undefined Saprotroph,NA,NA,NA,NA,NA,0,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia
Otu15,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Toxicocladosporium,0.46,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu25,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,NA,NA,NA,NA,NA,0,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu48,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Toxicocladosporium,0.52,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu52,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,NA,NA,NA,NA,0.46,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu54,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Toxicocladosporium,0.4,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu57,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,unclassified,Neodevriesia,0,0,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,0.37,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu65,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,NA,NA,NA,NA,NA,0.08,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu75,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,unclassified,unclassified,0,0,Ascomycota,NA,NA,NA,NA,0.04,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu188,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Neodevriesiaceae,Neodevriesia,0,0,Ascomycota,Dothideomycetes,Capnodiales,Neodevriesiaceae,Neodevriesia,0.46,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu271,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,0.9,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu280,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Piedraiaceae,Piedraia,Pathotroph,Animal Pathogen,Ascomycota,NA,NA,NA,NA,0.12,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu319,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,unclassified,unclassified,0,0,NA,NA,NA,NA,NA,0.05,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu336,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Toxicocladosporium,0.33,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu351,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Acrodontium,Pathotroph,Plant Pathogen,Ascomycota,NA,NA,NA,NA,0.45,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu355,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Acrodontium,Pathotroph,Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,0.23,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu384,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Toxicocladosporium,0.48,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu396,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Toxicocladosporium,0.79,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu409,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Teratoramularia,0,0,Ascomycota,NA,NA,NA,NA,0.38,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu470,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Pathotroph,Plant Pathogen,Ascomycota,NA,NA,NA,NA,0.1,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu486,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Toxicocladosporium,0.9,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu601,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph,Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,1,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu658,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Clypeosphaerella,0,0,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,0.18,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu662,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Symbiotroph,Endophyte,NA,NA,NA,NA,NA,0.43,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu690,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Acrodontium,Pathotroph,Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,0.25,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu743,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Pathotroph,Plant Pathogen,Ascomycota,NA,NA,NA,NA,0.46,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu778,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,unclassified,unclassified,0,0,NA,NA,NA,NA,NA,0.07,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu827,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Clypeosphaerella,0,0,Ascomycota,NA,NA,NA,NA,0.13,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu926,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,unclassified,Neodevriesia,0,0,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,0.16,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu962,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Toxicocladosporium,1,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu1094,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,NA,NA,NA,NA,NA,0.41,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu1233,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Toxicocladosporium,0.7,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu1301,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph,Plant Pathogen,NA,NA,NA,NA,NA,0.02,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu1320,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Pathotroph,Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,0.55,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu1324,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,0,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu1343,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,unclassified,Neodevriesia,0,0,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,0.18,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu1345,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph,Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,0.9,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu1480,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Teratosphaeria,0,0,Ascomycota,NA,NA,NA,NA,0.3,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu1504,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Paramycosphaerella,0,0,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,0.04,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu1522,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Acrodontium,Pathotroph,Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Dissoconiaceae,NA,0.69,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu1548,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,unclassified,unclassified,0,0,Ascomycota,NA,NA,NA,NA,0.41,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu1617,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Neodevriesiaceae,Neodevriesia,0,0,Ascomycota,NA,NA,NA,NA,0.08,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu1653,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Toxicocladosporium,0.33,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu1726,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Toxicocladosporium,0.75,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu1881,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Acrodontium,Pathotroph,Plant Pathogen,Ascomycota,Dothideomycetes,NA,NA,NA,0.6,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu2152,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Acrodontium,Pathotroph,Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,NA,0.76,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu2223,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora,Saprotroph,Undefined Saprotroph,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,0.88,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu2388,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Zymoseptoria,0,0,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,0.13,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu2474,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Acrodontium,Pathotroph,Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,0.41,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu2498,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,unclassified,Tripospermum,Saprotroph,Undefined Saprotroph,Ascomycota,Dothideomycetes,Capnodiales,Neodevriesiaceae,Neodevriesia,0.4,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu2602,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Pathotroph,Plant Pathogen,Ascomycota,NA,NA,NA,NA,0.24,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu2651,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Acrodontium,Pathotroph,Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,0.44,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu2698,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Acrodontium,Pathotroph,Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,0.46,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu2765,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Pathotroph,Plant Pathogen,Ascomycota,NA,NA,NA,NA,0.28,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu2778,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramulariopsis,Saprotroph,Undefined Saprotroph,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,NA,0.17,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu2780,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Acrodontium,Pathotroph,Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Dissoconiaceae,NA,0.46,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu2835,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,NA,NA,NA,NA,NA,0.17,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu2888,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,NA,NA,NA,NA,0.72,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu2905,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,NA,NA,NA,NA,0.53,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu2985,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,0,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu3178,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Piedraiaceae,Piedraia,Pathotroph,Animal Pathogen,Ascomycota,NA,NA,NA,NA,0.04,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu3183,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Teratoramularia,0,0,NA,NA,NA,NA,NA,0.06,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu39,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Catenulostroma,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Acrodontium,Pathotroph,Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Catenulostroma,0.95,Ascomycota,NA,NA,NA,NA
Otu59,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Pathotroph,Plant Pathogen,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,0.87,Ascomycota,NA,NA,NA,NA
Otu67,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Alfaria,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Alfaria,0,0,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Alfaria,0.6,Ascomycota,NA,NA,NA,NA
Otu79,Ascomycota,,,,,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Pathotroph,Plant Pathogen,NA,NA,NA,NA,NA,0.01,Ascomycota,NA,NA,NA,NA
Otu84,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Striaticonidium,0,0,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,NA,0.41,Ascomycota,NA,NA,NA,NA
Otu104,Ascomycota,NA,NA,NA,NA,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Darksidea,0,0,NA,NA,NA,NA,NA,0.05,Ascomycota,NA,NA,NA,NA
Otu105,Ascomycota,NA,NA,NA,NA,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Pathotroph,Plant Pathogen,NA,NA,NA,NA,NA,0,Ascomycota,NA,NA,NA,NA
Otu143,Ascomycota,NA,NA,NA,NA,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Pathotroph,Lichen Parasite,NA,NA,NA,NA,NA,0.24,Ascomycota,NA,NA,NA,NA
Otu154,Ascomycota,NA,NA,NA,NA,Ascomycota,Sordariomycetes,Xylariales,Apiosporaceae,Arthrinium,Saprotroph,Undefined Saprotroph,NA,NA,NA,NA,NA,0.13,Ascomycota,NA,NA,NA,NA
Otu157,Ascomycota,Sordariomycetes,,,,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Collariella,0,0,Ascomycota,Sordariomycetes,NA,NA,NA,0.09,Ascomycota,NA,NA,NA,NA
Otu161,Ascomycota,NA,NA,NA,NA,Ascomycota,Sordariomycetes,Lulworthiales,Lulworthiaceae,Lindra,Saprotroph,Undefined Saprotroph,NA,NA,NA,NA,NA,0.04,Ascomycota,NA,NA,NA,NA
Otu178,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Pathotroph,Plant Pathogen,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,0.95,Ascomycota,NA,NA,NA,NA
Otu179,Ascomycota,NA,NA,NA,NA,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Pathotroph,Plant Pathogen,NA,NA,NA,NA,NA,0.03,Ascomycota,NA,NA,NA,NA
Otu193,Ascomycota,NA,NA,NA,NA,Ascomycota,Sordariomycetes,Hypocreales,unclassified,Acremonium,Pathotroph,Animal Pathogen,NA,NA,NA,NA,NA,0.19,Ascomycota,NA,NA,NA,NA
Otu208,Ascomycota,NA,NA,NA,NA,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Hydropisphaera,Saprotroph,Undefined Saprotroph,NA,NA,NA,NA,NA,0.03,Ascomycota,NA,NA,NA,NA
Otu210,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,NA,Ascomycota,Sordariomycetes,Calosphaeriales,Calosphaeriaceae,Jattaea,Saprotroph,Undefined Saprotroph,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,NA,0.03,Ascomycota,NA,NA,NA,NA
Otu211,Ascomycota,Leotiomycetes,Helotiales,Vibrisseaceae,Phialocephala,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora,Saprotroph,Undefined Saprotroph,Ascomycota,Leotiomycetes,Helotiales,Vibrisseaceae,Phialocephala,0.79,Ascomycota,NA,NA,NA,NA
Otu212,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypomyces,Pathotroph,Fungal Parasite,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,0.1,Ascomycota,NA,NA,NA,NA
Otu213,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,NA,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Smaragdiniseta,0,0,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,NA,0.66,Ascomycota,NA,NA,NA,NA
Otu236,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,NA,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Sydowia,Pathotroph,Plant Pathogen,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,NA,0.32,Ascomycota,NA,NA,NA,NA
Otu239,Ascomycota,NA,NA,NA,NA,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Subramaniula,Saprotroph,Undefined Saprotroph,NA,NA,NA,NA,NA,0.34,Ascomycota,NA,NA,NA,NA
Otu241,Ascomycota,Sordariomycetes,Xylariales,NA,NA,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,Pathotroph,Plant Pathogen,Ascomycota,Sordariomycetes,Xylariales,NA,NA,0.28,Ascomycota,NA,NA,NA,NA
Otu260,Ascomycota,NA,NA,NA,NA,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusicolla,0,0,NA,NA,NA,NA,NA,0.05,Ascomycota,NA,NA,NA,NA
Otu261,Ascomycota,NA,NA,NA,NA,Ascomycota,Lecanoromycetes,Rhizocarpales,Rhizocarpaceae,Rhizocarpon,Symbiotroph,Lichenized,Ascomycota,NA,NA,NA,NA,0.01,Ascomycota,NA,NA,NA,NA
Otu290,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,NA,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Acrodontium,Pathotroph,Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,NA,0.5,Ascomycota,NA,NA,NA,NA
Otu294,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,NA,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Microcera,0,0,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,NA,0.08,Ascomycota,NA,NA,NA,NA
